"AvgDownloadspeed","MinDownloadspeed","MaxDownloadspeed","Postcode","ShortPostcode","Town/City","County"
91.8,4,200,"BS10 5AA","BS10 5","BRISTOL","CITY OF BRISTOL"
79.1,4.7,200,"BS10 5AB","BS10 5","BRISTOL","CITY OF BRISTOL"
72.5,5.6,200,"BS10 5AD","BS10 5","BRISTOL","CITY OF BRISTOL"
56.2,3.6,150,"BS10 5AE","BS10 5","BRISTOL","CITY OF BRISTOL"
69.5,0.7,200,"BS10 5AL","BS10 5","BRISTOL","CITY OF BRISTOL"
88.1,3,200,"BS10 5AN","BS10 5","BRISTOL","CITY OF BRISTOL"
76.1,2.1,200,"BS10 5AP","BS10 5","BRISTOL","CITY OF BRISTOL"
76.1,4.1,200,"BS10 5AQ","BS10 5","BRISTOL","CITY OF BRISTOL"
80.8,3.3,200,"BS10 5AS","BS10 5","BRISTOL","CITY OF BRISTOL"
80.4,1.1,200,"BS10 5AT","BS10 5","BRISTOL","CITY OF BRISTOL"
55.7,1.6,100,"BS10 5AW","BS10 5","BRISTOL","CITY OF BRISTOL"
80.8,5,200,"BS10 5AX","BS10 5","BRISTOL","CITY OF BRISTOL"
71.7,3.1,200,"BS10 5AY","BS10 5","BRISTOL","CITY OF BRISTOL"
77.2,5,200,"BS10 5AZ","BS10 5","BRISTOL","CITY OF BRISTOL"
73,2.8,200,"BS10 5BB","BS10 5","BRISTOL","CITY OF BRISTOL"
79.5,4.2,200,"BS10 5BD","BS10 5","BRISTOL","CITY OF BRISTOL"
93.9,1.8,200,"BS10 5BE","BS10 5","BRISTOL","CITY OF BRISTOL"
68.6,7.4,200,"BS10 5BH","BS10 5","BRISTOL","CITY OF BRISTOL"
72.4,0.1,200,"BS10 5BJ","BS10 5","BRISTOL","CITY OF BRISTOL"
86.1,9.2,200,"BS10 5BL","BS10 5","BRISTOL","CITY OF BRISTOL"
75.8,9.8,200,"BS10 5BN","BS10 5","BRISTOL","CITY OF BRISTOL"
78.5,11.1,200,"BS10 5BP","BS10 5","BRISTOL","CITY OF BRISTOL"
52.1,5.6,200,"BS10 5BS","BS10 5","BRISTOL","CITY OF BRISTOL"
52.5,3.8,106.3,"BS10 5BT","BS10 5","BRISTOL","CITY OF BRISTOL"
100.8,5.5,200,"BS10 5BX","BS10 5","BRISTOL","CITY OF BRISTOL"
78.2,5,200,"BS10 5BY","BS10 5","BRISTOL","CITY OF BRISTOL"
129.6,40,200,"BS10 5BZ","BS10 5","BRISTOL","CITY OF BRISTOL"
71.9,4.8,150,"BS10 5DA","BS10 5","BRISTOL","CITY OF BRISTOL"
53.4,3.1,200,"BS10 5DB","BS10 5","BRISTOL","CITY OF BRISTOL"
96.9,4.5,200,"BS10 5DD","BS10 5","BRISTOL","CITY OF BRISTOL"
13.4,4.1,39.9,"BS10 5DF","BS10 5","BRISTOL","CITY OF BRISTOL"
98,31.3,200,"BS10 5DJ","BS10 5","BRISTOL","CITY OF BRISTOL"
119.9,17.1,200,"BS10 5DL","BS10 5","BRISTOL","CITY OF BRISTOL"
83,17,200,"BS10 5DR","BS10 5","BRISTOL","CITY OF BRISTOL"
55,31,79,"BS10 5DT","BS10 5","BRISTOL","CITY OF BRISTOL"
65.6,13.7,106.3,"BS10 5DW","BS10 5","BRISTOL","CITY OF BRISTOL"
60,8.6,200,"BS10 5DX","BS10 5","BRISTOL","CITY OF BRISTOL"
103.6,12.5,200,"BS10 5DZ","BS10 5","BRISTOL","CITY OF BRISTOL"
70.7,0.9,150,"BS10 5EA","BS10 5","BRISTOL","CITY OF BRISTOL"
77.3,6.7,200,"BS10 5ED","BS10 5","BRISTOL","CITY OF BRISTOL"
66.4,13,200,"BS10 5EF","BS10 5","BRISTOL","CITY OF BRISTOL"
71.8,10.9,200,"BS10 5EG","BS10 5","BRISTOL","CITY OF BRISTOL"
70.9,9.7,200,"BS10 5EH","BS10 5","BRISTOL","CITY OF BRISTOL"
66.4,4.5,200,"BS10 5EJ","BS10 5","BRISTOL","CITY OF BRISTOL"
60.2,3.1,152,"BS10 5EL","BS10 5","BRISTOL","CITY OF BRISTOL"
67.6,7.1,200,"BS10 5EN","BS10 5","BRISTOL","CITY OF BRISTOL"
52.6,5.8,200,"BS10 5EP","BS10 5","BRISTOL","CITY OF BRISTOL"
81.5,11.8,200,"BS10 5EQ","BS10 5","BRISTOL","CITY OF BRISTOL"
54.2,2.7,200,"BS10 5ES","BS10 5","BRISTOL","CITY OF BRISTOL"
75.9,5.9,200,"BS10 5ET","BS10 5","BRISTOL","CITY OF BRISTOL"
74.3,6.3,200,"BS10 5EU","BS10 5","BRISTOL","CITY OF BRISTOL"
64.3,5.1,200,"BS10 5EX","BS10 5","BRISTOL","CITY OF BRISTOL"
48.1,8.5,100,"BS10 5EY","BS10 5","BRISTOL","CITY OF BRISTOL"
34.9,4.5,80,"BS10 5FE","BS10 5","BRISTOL","CITY OF BRISTOL"
22.8,9.2,79.9,"BS10 5HE","BS10 5","BRISTOL","CITY OF BRISTOL"
77.3,13.7,200,"BS10 5HG","BS10 5","BRISTOL","CITY OF BRISTOL"
76,8,200,"BS10 5HH","BS10 5","BRISTOL","CITY OF BRISTOL"
51.2,5.2,106.3,"BS10 5HJ","BS10 5","BRISTOL","CITY OF BRISTOL"
72.5,13.3,200,"BS10 5HL","BS10 5","BRISTOL","CITY OF BRISTOL"
103.5,18,200,"BS10 5HN","BS10 5","BRISTOL","CITY OF BRISTOL"
64.5,11.8,200,"BS10 5HQ","BS10 5","BRISTOL","CITY OF BRISTOL"
78,11.2,200,"BS10 5HY","BS10 5","BRISTOL","CITY OF BRISTOL"
96.6,12.7,200,"BS10 5JA","BS10 5","BRISTOL","CITY OF BRISTOL"
75.9,9.9,200,"BS10 5JD","BS10 5","BRISTOL","CITY OF BRISTOL"
47.7,5.9,150,"BS10 5JE","BS10 5","BRISTOL","CITY OF BRISTOL"
57.9,1.4,200,"BS10 5JF","BS10 5","BRISTOL","CITY OF BRISTOL"
105.1,10,200,"BS10 5JG","BS10 5","BRISTOL","CITY OF BRISTOL"
100.9,16.8,200,"BS10 5JH","BS10 5","BRISTOL","CITY OF BRISTOL"
60.7,9.8,300,"BS10 5JJ","BS10 5","BRISTOL","CITY OF BRISTOL"
55.4,7.2,200,"BS10 5JL","BS10 5","BRISTOL","CITY OF BRISTOL"
