"Town/City","County","Download Score"
"BRISTOL","CITY OF BRISTOL",0.684811764705882
"SALTASH","CORNWALL",0.498690417690418
"BOSCASTLE","CORNWALL",0.349871794871795
"PORT ISAAC","CORNWALL",0.3455
"MARAZION","CORNWALL",0.3454
"DELABOLE","CORNWALL",0.341146341463415
"ST COLUMB","CORNWALL",0.332582191780822
"LOSTWITHIEL","CORNWALL",0.330364583333333
"TINTAGEL","CORNWALL",0.327695652173913
"PAR","CORNWALL",0.324592592592593
"ST AGNES","CORNWALL",0.31688785046729
"FOWEY","CORNWALL",0.308747572815534
"ST IVES","CORNWALL",0.306336111111111
"ST AUSTELL","CORNWALL",0.305806695464363
"TRURO","CORNWALL",0.294390492359932
"TORPOINT","CORNWALL",0.290187739463602
"LOOE","CORNWALL",0.276896
"REDRUTH","CORNWALL",0.260624645892351
"PERRANPORTH","CORNWALL",0.250054347826087
"LISKEARD","CORNWALL",0.244738
"HELSTON","CORNWALL",0.24443399339934
"BODMIN","CORNWALL",0.242576687116564
"BUDE","CORNWALL",0.241306233062331
"CAMELFORD","CORNWALL",0.238963414634146
"GUNNISLAKE","CORNWALL",0.235968085106383
"CALSTOCK","CORNWALL",0.23540625
"PENRYN","CORNWALL",0.232825471698113
"HAYLE","CORNWALL",0.232028880866426
"CALLINGTON","CORNWALL",0.225267326732673
"PENZANCE","CORNWALL",0.22378369195923
"PADSTOW","CORNWALL",0.2230703125
"WADEBRIDGE","CORNWALL",0.217589830508475
"FALMOUTH","CORNWALL",0.21367571884984
"HOLSWORTHY","CORNWALL",0.209918918918919
"CAMBORNE","CORNWALL",0.209236323851203
"NEWQUAY","CORNWALL",0.208168367346939
"LAUNCESTON","CORNWALL",0.207823979591837
