"Town/City","County","House_Score"
"CAMBORNE","CORNWALL",9.76168523639775
"DELABOLE","CORNWALL",9.75934894736842
"ST COLUMB","CORNWALL",9.73308746835443
"PAR","CORNWALL",9.7174975
"PENRYN","CORNWALL",9.70730276041667
"LISKEARD","CORNWALL",9.70287208928571
"SALTASH","CORNWALL",9.69486428461538
"CALLINGTON","CORNWALL",9.69400120098039
"ST AUSTELL","CORNWALL",9.68434941627689
"LAUNCESTON","CORNWALL",9.68296611264368
"CAMELFORD","CORNWALL",9.68042043010753
"TORPOINT","CORNWALL",9.67871356877323
"GUNNISLAKE","CORNWALL",9.67358021428571
"REDRUTH","CORNWALL",9.67334396187683
"BODMIN","CORNWALL",9.66897976379691
"CALSTOCK","CORNWALL",9.65977631578947
"HAYLE","CORNWALL",9.65887721971831
"PENZANCE","CORNWALL",9.65101226647145
"WELLS","CITY OF BRISTOL",9.645
"BUDE","CORNWALL",9.61211654545455
"TINTAGEL","CORNWALL",9.60532847222222
"HELSTON","CORNWALL",9.57941486653772
"LOOE","CORNWALL",9.56954169649805
"BRISTOL","CITY OF BRISTOL",9.56617181060216
"LOSTWITHIEL","CORNWALL",9.56422573529412
"TRURO","CORNWALL",9.55719628029602
"MARAZION","CORNWALL",9.5552278
"NEWQUAY","CORNWALL",9.53279409355246
"FALMOUTH","CORNWALL",9.52617979126214
"PERRANPORTH","CORNWALL",9.51079027380952
"BOSCASTLE","CORNWALL",9.48071111111111
"ST IVES","CORNWALL",9.4759129525066
"HOLSWORTHY","CORNWALL",9.44037166666667
"FOWEY","CORNWALL",9.41071427659574
"WADEBRIDGE","CORNWALL",9.39808455617978
"ST AGNES","CORNWALL",9.38746
"PADSTOW","CORNWALL",9.34467502941176
"PORT ISAAC","CORNWALL",9.29482
