"Town","County","School Score"
"CORNWALL","CORNWALL",5.64
"ST IVES","CORNWALL",5.24
"FALMOUTH","CORNWALL",5.02
"NEWQUAY","CORNWALL",4.935
"HELSTON","CORNWALL",4.84
"ST AUSTELL","CORNWALL",4.82
"CAMBORNE","CORNWALL",4.8
"BUDE","CORNWALL",4.72
"WADEBRIDGE","CORNWALL",4.71
"HAYLE","CORNWALL",4.66
"PENRYN","CORNWALL",4.65
"PENZANCE","CORNWALL",4.61666666666667
"TORPOINT","CORNWALL",4.56
"SALTASH","CORNWALL",4.49
"CALLINGTON","CORNWALL",4.45
"LAUNCESTON","CORNWALL",4.42
"REDRUTH","CORNWALL",4.42
"CAMELFORD","CORNWALL",4.37
"LISKEARD","CORNWALL",4.36
"LOOE","CORNWALL",4.04
"BRISTOL","BRISTOL",3.95903225806452
"BODMIN","CORNWALL",3.95
"FOWEY","CORNWALL",3.71
"TRURO","CORNWALL",3.47
